epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,110.051,1.16546,1.34993,1.2583,0.61905,0.47501,0.50909,0.35351,1.15556,1.29054,1.229,3.96032e-05,3.96032e-05,3.96032e-05
2,209.416,1.16006,1.37422,1.2555,0.60084,0.45723,0.4896,0.33611,1.1795,1.34839,1.25203,7.6654e-05,7.6654e-05,7.6654e-05
3,308.154,1.17544,1.4014,1.26408,0.57739,0.45216,0.47281,0.32424,1.18756,1.3739,1.25241,0.000111087,0.000111087,0.000111087
4,404.95,1.17615,1.41232,1.2642,0.58606,0.44278,0.47149,0.32069,1.20274,1.38989,1.26742,0.000107219,0.000107219,0.000107219
5,501.923,1.17302,1.39686,1.26373,0.58822,0.44973,0.47504,0.32444,1.19292,1.38069,1.25729,0.000103292,0.000103292,0.000103292
6,598.848,1.16816,1.38879,1.26318,0.58758,0.4438,0.47576,0.32509,1.18864,1.37351,1.25859,9.9365e-05,9.9365e-05,9.9365e-05
7,695.61,1.16275,1.38087,1.2585,0.5884,0.44326,0.47325,0.3245,1.19768,1.3846,1.26075,9.5438e-05,9.5438e-05,9.5438e-05
8,791.878,1.1586,1.36228,1.25167,0.57414,0.44847,0.47326,0.32154,1.19281,1.37375,1.25793,9.1511e-05,9.1511e-05,9.1511e-05
9,888.765,1.15768,1.35611,1.25456,0.58355,0.44688,0.47626,0.32623,1.19218,1.37882,1.25975,8.7584e-05,8.7584e-05,8.7584e-05
10,985.348,1.15731,1.35188,1.25081,0.59148,0.44586,0.47592,0.32709,1.19132,1.36955,1.26048,8.3657e-05,8.3657e-05,8.3657e-05
11,1081.64,1.14941,1.33904,1.24634,0.60539,0.44623,0.47992,0.32797,1.19373,1.37011,1.25685,7.973e-05,7.973e-05,7.973e-05
12,1178.25,1.14565,1.3261,1.24522,0.59814,0.45305,0.48102,0.33068,1.19029,1.36963,1.25368,7.5803e-05,7.5803e-05,7.5803e-05
13,1274.71,1.14391,1.31919,1.24148,0.59522,0.44752,0.47772,0.32769,1.18665,1.36638,1.25341,7.1876e-05,7.1876e-05,7.1876e-05
14,1370.81,1.1353,1.31174,1.23992,0.60489,0.44462,0.47971,0.3294,1.19074,1.3633,1.25477,6.7949e-05,6.7949e-05,6.7949e-05
15,1467.02,1.13513,1.30144,1.23686,0.57607,0.46425,0.48192,0.33143,1.18153,1.35458,1.25156,6.4022e-05,6.4022e-05,6.4022e-05
16,1563.34,1.13124,1.29942,1.23584,0.60478,0.45461,0.48474,0.33279,1.1844,1.3431,1.25253,6.0095e-05,6.0095e-05,6.0095e-05
17,1659.75,1.13116,1.28814,1.23243,0.59733,0.45607,0.48444,0.33267,1.18085,1.34955,1.2499,5.6168e-05,5.6168e-05,5.6168e-05
18,1755.98,1.12717,1.28126,1.23179,0.60139,0.45717,0.48307,0.33244,1.18308,1.34832,1.25266,5.2241e-05,5.2241e-05,5.2241e-05
19,1852.13,1.1189,1.26955,1.22795,0.58939,0.46226,0.4876,0.33542,1.18015,1.34058,1.24995,4.8314e-05,4.8314e-05,4.8314e-05
20,1948.38,1.12034,1.26974,1.2268,0.60319,0.45547,0.48696,0.33548,1.18037,1.34284,1.24809,4.4387e-05,4.4387e-05,4.4387e-05
21,2044.71,1.12849,1.22759,1.23043,0.59039,0.45658,0.48196,0.33013,1.18526,1.35256,1.25208,4.046e-05,4.046e-05,4.046e-05
22,2138.18,1.11589,1.18553,1.22066,0.59759,0.45212,0.48362,0.33341,1.17962,1.34784,1.25054,3.6533e-05,3.6533e-05,3.6533e-05
23,2232.07,1.10648,1.1718,1.21619,0.59689,0.45387,0.48317,0.33294,1.1796,1.34093,1.24923,3.2606e-05,3.2606e-05,3.2606e-05
24,2325.47,1.10272,1.15639,1.21166,0.60289,0.45708,0.4857,0.33444,1.17871,1.34058,1.2482,2.8679e-05,2.8679e-05,2.8679e-05
25,2418.94,1.09774,1.14752,1.20985,0.58626,0.46355,0.48582,0.33621,1.1763,1.33871,1.24768,2.4752e-05,2.4752e-05,2.4752e-05
26,2512.36,1.09383,1.13613,1.2061,0.59658,0.46413,0.48775,0.33747,1.17465,1.33439,1.24473,2.0825e-05,2.0825e-05,2.0825e-05
27,2605.96,1.09004,1.12613,1.202,0.58908,0.46537,0.48832,0.33724,1.17456,1.3338,1.24647,1.6898e-05,1.6898e-05,1.6898e-05
28,2699.3,1.08981,1.11911,1.20395,0.59547,0.46148,0.48803,0.33749,1.17465,1.33327,1.24641,1.2971e-05,1.2971e-05,1.2971e-05
29,2792.74,1.0832,1.10995,1.19984,0.60151,0.45796,0.48868,0.33801,1.17428,1.3309,1.24498,9.044e-06,9.044e-06,9.044e-06
30,2886.16,1.08012,1.1042,1.19449,0.60159,0.46276,0.48942,0.33856,1.17348,1.33027,1.24429,5.117e-06,5.117e-06,5.117e-06
